gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,stateProvince,occurrenceStatus,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue,event_year,event_month,event_day,event_day_of_week,event_season,kingdom_grouped
891737661,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/392232,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis,SUBSPECIES,Procavia capensis capensis,Procavia capensis capensis,ZA,Western Cape,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-34.195728,18.450291,13.0,2013-09-03 10:19:45,3,9,2013,7059530,5219598.0,HUMAN_OBSERVATION,iNaturalist,Observations,392232,Tony Rebelo,2017-10-19T23:40:17,CC_BY_NC_4_0,John Francis,John Francis,2023-09-21T13:29:51.418Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2013,9,3,Tuesday,Fall,Animalia
899947055,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/566266,Animalia,Cnidaria,Anthozoa,Scleractinia,Plerogyridae,Plerogyra,Plerogyra sinuosa,SPECIES,"Plerogyra sinuosa (Dana, 1846)",Plerogyra sinuosa,PW,Koror,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,7.232672,134.414699,31324.0,2014-02-27 14:22:59,27,2,2014,2259273,2259273.0,HUMAN_OBSERVATION,iNaturalist,Observations,566266,Mark Rosenstein,2016-08-09T08:38:55,CC_BY_4_0,Mark Rosenstein,Mark Rosenstein,2023-09-21T13:29:58.235Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,2,27,Thursday,Winter,Animalia
1024190347,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/784705,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Cercyonis,Cercyonis pegala,SPECIES,"Cercyonis pegala Fabricius, 1775",Cercyonis pegala,US,Vermont,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.635704,-73.390377,,2014-07-14 00:00:00,14,7,2014,1915492,1915492.0,HUMAN_OBSERVATION,iNaturalist,Observations,784705,roy pilcher,2014-07-15T00:14:13,CC_BY_NC_4_0,roy pilcher,roy pilcher,2023-09-21T13:30:03.089Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,7,14,Monday,Summer,Animalia
1038323527,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://naturewatch.org.nz/observations/401691,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa itea,SPECIES,"Vanessa itea (Fabricius, 1775)",Vanessa itea,NZ,Wellington,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-41.281455,174.765752,,2014-04-28 00:00:00,28,4,2014,5806175,5806175.0,HUMAN_OBSERVATION,iNaturalist,Observations,998573,Melissa Hutchison,2014-05-03T08:32:55,CC_BY_NC_4_0,Melissa Hutchison,Melissa Hutchison,2023-09-21T13:30:07.652Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,4,28,Monday,Spring,Animalia
1065596588,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1191781,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,Melospiza melodia,SPECIES,"Melospiza melodia (A.Wilson, 1810)",Melospiza melodia,US,Vermont,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.545323,-72.98282,48.0,2015-01-24 00:00:00,24,1,2015,2492196,2492196.0,HUMAN_OBSERVATION,iNaturalist,Observations,1191781,roy pilcher,2015-01-24T19:29:13,CC_BY_NC_4_0,roy pilcher,roy pilcher,2023-09-21T13:30:12.151Z,StillImage;StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,1,24,Saturday,Winter,Animalia
1836675534,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1427914,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,Leucocarbo bougainvillii,SPECIES,"Leucocarbo bougainvillii (Lesson, 1837)",Leucocarbo bougainvillii,PE,Lambayeque,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-6.919366,-79.917599,31337.0,2015-04-26 00:00:00,26,4,2015,6066498,6066498.0,HUMAN_OBSERVATION,iNaturalist,Observations,1427914,Ernesto Málaga-Arenas,2022-04-18T23:45:19,CC_BY_4_0,Ernesto Málaga-Arenas,Ernesto Málaga-Arenas,2023-09-21T13:30:16.484Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,4,26,Sunday,Spring,Animalia
1098914398,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1643572,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,SPECIES,"Thomomys bottae (Eydoux & Gervais, 1836)",Thomomys bottae,US,California,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.27314,-120.888733,16.0,2014-11-11 00:00:00,11,11,2014,2439385,2439385.0,HUMAN_OBSERVATION,iNaturalist,Observations,1643572,R.J. Adams,2015-06-18T04:56:18,CC_BY_NC_4_0,R.J. Adams,R.J. Adams,2023-09-21T13:30:22.286Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,11,11,Tuesday,Fall,Animalia
1227719485,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1848872,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias,Paonias excaecata,SPECIES,"Paonias excaecata Smith, 1797",Paonias excaecata,CA,Ontario,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.198971,-79.773397,27222.0,2015-08-08 00:00:00,8,8,2015,4301348,4301348.0,HUMAN_OBSERVATION,iNaturalist,Observations,1848872,Charmi Z.,2015-08-10T01:10:22,CC_BY_NC_4_0,Charmi Z.,Charmi Z.,2023-09-21T13:30:28.339Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,8,8,Saturday,Summer,Animalia
1143562846,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2075770,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris,Hypochaeris radicata,SPECIES,Hypochaeris radicata L.,Hypochaeris radicata,US,California,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.579864,-122.469367,5.0,2015-09-26 10:15:31,26,9,2015,3093702,3093702.0,HUMAN_OBSERVATION,iNaturalist,Observations,2075770,Toni Corelli,2015-10-07T16:57:45,CC_BY_NC_4_0,jscherer,jscherer,2023-09-21T13:30:34.655Z,StillImage;StillImage;StillImage;StillImage;StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,9,26,Saturday,Fall,Plantae
1227740258,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2447100,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,SPECIES,"Sturnus vulgaris Linnaeus, 1758",Sturnus vulgaris,US,Ohio,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.758358,-81.276755,187.0,2015-11-25 13:58:24,25,11,2015,9809229,9809229.0,HUMAN_OBSERVATION,iNaturalist,Observations,2447100,Matthew Salkiewicz,2015-12-03T06:25:09,CC_BY_NC_4_0,Matthew Salkiewicz,Matthew Salkiewicz,2023-09-21T13:30:40.187Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,11,25,Wednesday,Fall,Animalia
